name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),price_range,price_range_sort
Biryani Junction,Yes,No,2.3,298,Bommanahalli,Quick Bites,"Biryani, North Indian, Chinese",450.0,Delivery,HSR,Mid Range (₹301-600),2
Pensiri Cafe,Yes,No,3.5,48,HSR,"Takeaway, Delivery",North Indian,300.0,Delivery,HSR,Budget (₹0-300),1
Fritz Haber,Yes,No,4.1,397,HSR,Dessert Parlor,"Ice Cream, Desserts",450.0,Delivery,HSR,Mid Range (₹301-600),2
Masala Secret Eat WOW,Yes,No,3.6,14,HSR,Quick Bites,"Street Food, Fast Food, Chinese, Momos",300.0,Delivery,HSR,Budget (₹0-300),1
The Pancake Story,Yes,No,4.6,118,Koramangala 1st Block,Dessert Parlor,"Desserts, Beverages",300.0,Delivery,HSR,Budget (₹0-300),1
Cold Smith Ice Creams,Yes,No,3.9,41,Sarjapur Road,Dessert Parlor,"Ice Cream, Desserts",450.0,Delivery,HSR,Mid Range (₹301-600),2
Firangi Bake,Yes,No,3.9,21,Koramangala 1st Block,Delivery,"Mexican, Italian",600.0,Delivery,HSR,Mid Range (₹301-600),2
Faasos,Yes,No,4.0,67,Koramangala 1st Block,Delivery,"North Indian, Biryani, Fast Food",500.0,Delivery,HSR,Mid Range (₹301-600),2
McDonald's,Yes,No,3.8,510,HSR,Quick Bites,"Burger, Fast Food",500.0,Delivery,HSR,Mid Range (₹301-600),2
Stoned Monkey,Yes,No,3.9,230,HSR,Dessert Parlor,"Desserts, Ice Cream",500.0,Delivery,HSR,Mid Range (₹301-600),2
Bubble Bee,Yes,No,3.9,46,HSR,Dessert Parlor,"Beverages, Bubble Tea, Desserts",400.0,Delivery,HSR,Mid Range (₹301-600),2
Barbeque Delight,Yes,Yes,3.8,189,Sarjapur Road,Casual Dining,"Arabian, Kerala, North Indian, Chinese, BBQ",800.0,Delivery,HSR,Premium (₹601-1000),3
Hungry Bird,Yes,No,3.6,15,Bellandur,Quick Bites,"North Indian, Chinese, Biryani",400.0,Delivery,HSR,Mid Range (₹301-600),2
Sweet Truth,Yes,No,4.0,19,Koramangala 1st Block,Delivery,"Bakery, Desserts",500.0,Delivery,HSR,Mid Range (₹301-600),2
Abhiruchi Restaurant,Yes,No,3.4,6,Sarjapur Road,Casual Dining,"Andhra, North Indian, Chinese",400.0,Delivery,HSR,Mid Range (₹301-600),2
The Good Bowl,Yes,No,3.6,8,Koramangala 1st Block,"Takeaway, Delivery","Italian, North Indian, Biryani",500.0,Delivery,HSR,Mid Range (₹301-600),2
Delhi Food Point,Yes,No,3.3,910,Koramangala 1st Block,Quick Bites,"North Indian, Beverages",250.0,Delivery,HSR,Budget (₹0-300),1
NH-1,Yes,No,3.8,376,Bellandur,Delivery,North Indian,600.0,Delivery,HSR,Mid Range (₹301-600),2
Karama Restaurant,Yes,No,3.4,11,HSR,"Takeaway, Delivery",Arabian,400.0,Delivery,HSR,Mid Range (₹301-600),2
Navya's,Yes,No,2.9,46,HSR,Quick Bites,"North Indian, Andhra, Chinese",600.0,Delivery,HSR,Mid Range (₹301-600),2
Zangos Grill,Yes,No,4.0,188,Koramangala 1st Block,Delivery,"BBQ, Fast Food",300.0,Delivery,HSR,Budget (₹0-300),1
BOX8- Desi Meals,Yes,No,4.2,460,HSR,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500.0,Delivery,HSR,Mid Range (₹301-600),2
Onesta,Yes,Yes,4.4,3764,HSR,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Delivery,HSR,Mid Range (₹301-600),2
The Burger Place,Yes,No,3.8,26,Koramangala 1st Block,Quick Bites,"Burger, Continental, Fast Food",400.0,Delivery,HSR,Mid Range (₹301-600),2
Dabba Gosht,Yes,No,3.4,15,HSR,"Takeaway, Delivery","Arabian, Middle Eastern",400.0,Delivery,HSR,Mid Range (₹301-600),2
Soup'ermanz Kitchen,Yes,No,4.1,439,HSR,Cafe,"Cafe, Continental, Burger",750.0,Delivery,HSR,Premium (₹601-1000),3
Domino's Pizza,Yes,No,2.7,332,Sarjapur Road,Quick Bites,"Pizza, Fast Food",400.0,Delivery,HSR,Mid Range (₹301-600),2
What'sinaPita,Yes,No,3.9,231,Koramangala 1st Block,Delivery,"Mediterranean, Middle Eastern, Wraps, Rolls",400.0,Delivery,HSR,Mid Range (₹301-600),2
Al-Bek,Yes,No,3.6,133,HSR,"Takeaway, Delivery","Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",300.0,Delivery,HSR,Budget (₹0-300),1
Reddy's Paradise,Yes,No,3.5,11,Sarjapur Road,Quick Bites,"Fast Food, Chinese, North Indian, Biryani",400.0,Delivery,HSR,Mid Range (₹301-600),2
Mamatha Restaurant,Yes,No,2.7,74,Bommanahalli,Casual Dining,"Biryani, Hyderabadi, North Indian",700.0,Delivery,HSR,Premium (₹601-1000),3
Oliver Wraps,Yes,No,3.1,8,HSR,"Takeaway, Delivery","Rolls, Fast Food",300.0,Delivery,HSR,Budget (₹0-300),1
Cafe Coffee Day The Lounge,Yes,No,3.8,77,HSR,Cafe,"Cafe, Fast Food",650.0,Delivery,HSR,Premium (₹601-1000),3
Moolehatti Donne Biryani Mane,Yes,No,3.6,218,HSR,Quick Bites,"Biryani, Chinese, North Indian, Kebab",400.0,Delivery,HSR,Mid Range (₹301-600),2
Mealsbaba,Yes,No,3.7,57,HSR,"Takeaway, Delivery",North Indian,400.0,Delivery,HSR,Mid Range (₹301-600),2
Vijayawada Style,Yes,No,3.2,22,Bommanahalli,Delivery,"North Indian, South Indian, Chinese",300.0,Delivery,HSR,Budget (₹0-300),1
Polar Bear,Yes,No,4.2,214,Bellandur,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Delivery,HSR,Mid Range (₹301-600),2
Wakeup Cafe,Yes,No,3.4,9,HSR,Quick Bites,"Fast Food, Beverages",300.0,Delivery,HSR,Budget (₹0-300),1
Daba Delights,Yes,No,3.3,9,Koramangala 4th Block,Delivery,"North Indian, Mughlai",400.0,Delivery,HSR,Mid Range (₹301-600),2
Mark,Yes,No,3.7,36,HSR,"Takeaway, Delivery","Andhra, Fast Food",500.0,Delivery,HSR,Mid Range (₹301-600),2
The Village Hotel,Yes,No,3.5,14,HSR,Quick Bites,Kerala,450.0,Delivery,HSR,Mid Range (₹301-600),2
Magnolia,Yes,Yes,4.1,671,Koramangala 3rd Block,Casual Dining,"Chinese, Thai, Asian",900.0,Delivery,HSR,Premium (₹601-1000),3
Biriyani Bungalow,Yes,No,3.1,4,HSR,Casual Dining,"Biryani, North Indian",600.0,Delivery,HSR,Mid Range (₹301-600),2
Veg Rasoi,Yes,No,4.0,99,HSR,Delivery,"North Indian, Rajasthani",600.0,Delivery,HSR,Mid Range (₹301-600),2
Chefie,Yes,No,3.8,37,Koramangala 1st Block,Quick Bites,"Continental, Fast Food, Italian, North Indian",200.0,Delivery,HSR,Budget (₹0-300),1
Karavali Kitchen,Yes,No,3.1,85,Sarjapur Road,Quick Bites,"Mangalorean, North Indian, Chinese",400.0,Delivery,HSR,Mid Range (₹301-600),2
Kitchens@HSR,Yes,No,3.1,247,HSR,"Takeaway, Delivery","Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",200.0,Delivery,HSR,Budget (₹0-300),1
4K Biryani,Yes,No,3.3,4,HSR,Delivery,"North Indian, Chinese",700.0,Delivery,HSR,Premium (₹601-1000),3
Aligarh House,Yes,No,4.4,568,HSR,Delivery,"North Indian, Biryani, Awadhi, Mughlai",400.0,Delivery,HSR,Mid Range (₹301-600),2
Namms Cafe,Yes,No,3.1,7,Koramangala 2nd Block,Delivery,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian",300.0,Delivery,HSR,Budget (₹0-300),1
Annapurna Foods,Yes,No,3.5,12,Bellandur,Casual Dining,"North Indian, Chinese, Hyderabadi",400.0,Delivery,HSR,Mid Range (₹301-600),2
Donne Biryani House,Yes,No,3.7,70,HSR,Delivery,"South Indian, Biryani",350.0,Delivery,HSR,Mid Range (₹301-600),2
Hyderabadi Biriyani,Yes,No,3.4,33,Bellandur,Casual Dining,"Biryani, Hyderabadi, Chinese, North Indian",800.0,Delivery,HSR,Premium (₹601-1000),3
Tempteys,Yes,No,3.7,39,HSR,"Beverage Shop, Dessert Parlor",Beverages,500.0,Delivery,HSR,Mid Range (₹301-600),2
Sardarji Londonwaley,Yes,No,3.9,307,Koramangala 1st Block,Delivery,North Indian,450.0,Delivery,HSR,Mid Range (₹301-600),2
Mojo Pizza - 2X Toppings,Yes,No,4.2,217,HSR,Delivery,Pizza,600.0,Delivery,HSR,Mid Range (₹301-600),2
Silbatti,No,Yes,4.0,1551,HSR,Casual Dining,North Indian,750.0,Delivery,HSR,Premium (₹601-1000),3
Nellore Abhiruchi,Yes,No,3.3,7,HSR,Quick Bites,"Biryani, South Indian",300.0,Delivery,HSR,Budget (₹0-300),1
Rolla Rappa,Yes,No,3.6,176,HSR,Delivery,"Biryani, Fast Food, Rolls, Momos",400.0,Delivery,HSR,Mid Range (₹301-600),2
Kapoor's Cafe,No,No,4.0,917,HSR,Casual Dining,North Indian,800.0,Delivery,HSR,Premium (₹601-1000),3
The Punjabi Rasoi,No,No,4.0,1829,HSR,Casual Dining,North Indian,800.0,Delivery,HSR,Premium (₹601-1000),3
HSR High Street,No,Yes,3.8,320,HSR,Casual Dining,"Hyderabadi, North Indian, South Indian, Biryani",800.0,Delivery,HSR,Premium (₹601-1000),3
Fish & Fries Restaurant,No,No,4.0,649,HSR,Casual Dining,"Continental, Seafood, Bengali, Fast Food",750.0,Delivery,HSR,Premium (₹601-1000),3
Shaadi Ki Biryani,Yes,No,2.9,18,HSR,"Takeaway, Delivery","Biryani, Charcoal Chicken",600.0,Delivery,HSR,Mid Range (₹301-600),2
Ziyan's Cafe 27th,No,Yes,4.0,60,HSR,Quick Bites,Kerala,300.0,Delivery,HSR,Budget (₹0-300),1
California Burrito,No,No,4.1,110,HSR,Quick Bites,"Mexican, Fast Food",400.0,Delivery,HSR,Mid Range (₹301-600),2
Indori Zaika,Yes,No,2.8,105,HSR,Quick Bites,North Indian,300.0,Delivery,HSR,Budget (₹0-300),1
Eatwell Restaurant,Yes,No,3.0,8,Sarjapur Road,Quick Bites,"Biryani, Chinese, North Indian",400.0,Delivery,HSR,Mid Range (₹301-600),2
Asha Tiffins,Yes,No,4.3,278,HSR,Quick Bites,South Indian,150.0,Delivery,HSR,Budget (₹0-300),1
Punjabi Nawabi,Yes,No,4.0,988,HSR,Casual Dining,North Indian,500.0,Delivery,HSR,Mid Range (₹301-600),2
Burger King,Yes,No,4.1,352,HSR,Quick Bites,"Burger, Fast Food, Beverages",600.0,Delivery,HSR,Mid Range (₹301-600),2
Foodies Hub,Yes,No,3.1,8,Sarjapur Road,Quick Bites,"North Indian, South Indian, Seafood",500.0,Delivery,HSR,Mid Range (₹301-600),2
Mustard Food Court,No,No,3.9,338,HSR,Casual Dining,"North Indian, Chinese",500.0,Delivery,HSR,Mid Range (₹301-600),2
Apsara Ice Cream,No,No,4.5,194,HSR,Dessert Parlor,"Ice Cream, Desserts",200.0,Delivery,HSR,Budget (₹0-300),1
MAD Belgian Waffles,Yes,No,3.5,4,Sarjapur Road,Delivery,"Desserts, Beverages",300.0,Delivery,HSR,Budget (₹0-300),1
Ovenstory Pizza,Yes,No,4.0,200,HSR,Delivery,Pizza,750.0,Delivery,HSR,Premium (₹601-1000),3
de Ranthal,No,No,3.8,33,HSR,Quick Bites,Kerala,300.0,Delivery,HSR,Budget (₹0-300),1
NY Pizza And Waffles,Yes,No,3.3,11,Sarjapur Road,Quick Bites,"Pizza, Fast Food",300.0,Delivery,HSR,Budget (₹0-300),1
Grilliez,Yes,No,4.1,564,HSR,Cafe,"Cafe, Arabian, Continental, Turkish, Fast Food, Burger, Beverages",600.0,Delivery,HSR,Mid Range (₹301-600),2
Dindigul Time Pass Restaurant,Yes,No,3.2,115,HSR,Casual Dining,"South Indian, North Indian, Chinese, Biryani",700.0,Delivery,HSR,Premium (₹601-1000),3
La Pino'z Pizza,Yes,No,4.1,498,Koramangala 4th Block,Quick Bites,"Italian, Pizza, Beverages",600.0,Delivery,HSR,Mid Range (₹301-600),2
Shankar Maanes Kitchen,Yes,No,3.8,33,HSR,Quick Bites,"South Indian, Biryani, North Indian",500.0,Delivery,HSR,Mid Range (₹301-600),2
Priya Juice & Snacks,Yes,No,3.7,74,HSR,Beverage Shop,"Beverages, Juices",200.0,Delivery,HSR,Budget (₹0-300),1
Krutunga,No,No,3.6,289,HSR,Casual Dining,"Andhra, Biryani",500.0,Delivery,HSR,Mid Range (₹301-600),2
Keventers,Yes,No,3.6,11,HSR,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream",400.0,Delivery,HSR,Mid Range (₹301-600),2
Hatti Punjab Di,No,No,3.3,24,HSR,Casual Dining,"North Indian, Chinese",600.0,Delivery,HSR,Mid Range (₹301-600),2
Five Star Chicken,Yes,No,3.3,55,Sarjapur Road,Quick Bites,"Roast Chicken, Burger",300.0,Delivery,HSR,Budget (₹0-300),1
Oh My Biryani,Yes,No,3.7,439,HSR,"Takeaway, Delivery","Biryani, North Indian",550.0,Delivery,HSR,Mid Range (₹301-600),2
Kaka-T-Cafe,No,No,4.0,60,HSR,Quick Bites,"Arabian, Fast Food",400.0,Delivery,HSR,Mid Range (₹301-600),2
Udupi Bhavan,Yes,No,3.8,170,HSR,Quick Bites,"Chinese, North Indian, South Indian",400.0,Delivery,HSR,Mid Range (₹301-600),2
Cupcake Noggins,No,No,4.1,104,HSR,Dessert Parlor,"Desserts, Bakery",300.0,Delivery,HSR,Budget (₹0-300),1
Mayur,Yes,Yes,3.7,20,Hosur Road,Casual Dining,"Andhra, North Indian, Chinese, Seafood",700.0,Delivery,HSR,Premium (₹601-1000),3
Ober Cafe,Yes,No,3.5,10,Koramangala 1st Block,Quick Bites,"Fast Food, Desserts",200.0,Delivery,HSR,Budget (₹0-300),1
Kadal Da Meen,Yes,No,3.9,117,HSR,Casual Dining,"Biryani, Seafood",900.0,Delivery,HSR,Premium (₹601-1000),3
The Thickshake Factory,No,No,3.6,8,HSR,Beverage Shop,"Beverages, Juices",350.0,Delivery,HSR,Mid Range (₹301-600),2
Udupi Palace,No,No,3.7,446,HSR,Quick Bites,"South Indian, North Indian, Chinese, Street Food",400.0,Delivery,HSR,Mid Range (₹301-600),2
IceBreakers,Yes,No,3.6,8,HSR,Dessert Parlor,"Desserts, Ice Cream",400.0,Delivery,HSR,Mid Range (₹301-600),2
Healthy Yummy Food Restaurant,Yes,No,3.6,16,HSR,Casual Dining,"Beverages, North Indian, Chinese, Italian",900.0,Delivery,HSR,Premium (₹601-1000),3
Vasudev Adiga's,No,No,3.7,532,HSR,Casual Dining,"South Indian, North Indian, Chinese, Street Food",250.0,Delivery,HSR,Budget (₹0-300),1
Hakka Chinese Restaurant,Yes,No,3.9,330,Koramangala 1st Block,Casual Dining,"Chinese, Thai",600.0,Delivery,HSR,Mid Range (₹301-600),2
Anjappar,No,No,2.9,304,HSR,Casual Dining,"Chettinad, South Indian",650.0,Delivery,HSR,Premium (₹601-1000),3
Nutty Affair,Yes,No,3.7,29,HSR,Quick Bites,Desserts,350.0,Delivery,HSR,Mid Range (₹301-600),2
Curries'N' Fries,No,No,3.7,22,HSR,Quick Bites,Andhra,400.0,Delivery,HSR,Mid Range (₹301-600),2
Donne Biriyani Mane,No,No,3.2,23,HSR,Quick Bites,"Biryani, Kebab",400.0,Delivery,HSR,Mid Range (₹301-600),2
Rolls On Wheels,No,No,3.6,217,HSR,Quick Bites,"Fast Food, Rolls, Momos",300.0,Delivery,HSR,Budget (₹0-300),1
Nandhini Deluxe,No,No,3.6,95,HSR,Casual Dining,"Andhra, North Indian",800.0,Delivery,HSR,Premium (₹601-1000),3
Uptown Sliders & Shakes,Yes,No,3.9,113,HSR,Quick Bites,"Burger, Fast Food, Beverages",600.0,Delivery,HSR,Mid Range (₹301-600),2
Cha-Cha Cha-Chi,No,No,3.3,4,HSR,Quick Bites,"Fast Food, Beverages",100.0,Delivery,HSR,Budget (₹0-300),1
Popular Bakery,No,No,3.7,36,HSR,"Dessert Parlor, Bakery","Desserts, Bakery",600.0,Delivery,HSR,Mid Range (₹301-600),2
Snow'ora,Yes,Yes,4.3,342,Koramangala 4th Block,Quick Bites,"Desserts, Ice Cream, Beverages",450.0,Delivery,HSR,Mid Range (₹301-600),2
@Italy,No,No,3.5,40,HSR,Quick Bites,"Italian, Pizza",700.0,Delivery,HSR,Premium (₹601-1000),3
Idli & Dosa Cafe,No,No,2.6,91,HSR,Quick Bites,South Indian,200.0,Delivery,HSR,Budget (₹0-300),1
Maa Bhook Lagi,Yes,No,3.9,296,Koramangala 4th Block,"Takeaway, Delivery",North Indian,400.0,Delivery,HSR,Mid Range (₹301-600),2
Shawarma Hunt,No,No,3.4,9,HSR,Quick Bites,Arabian,300.0,Delivery,HSR,Budget (₹0-300),1
Vegan Heat,Yes,No,4.1,314,Koramangala 1st Block,"Takeaway, Delivery","Healthy Food, Salad",650.0,Delivery,HSR,Premium (₹601-1000),3
Ur Cutlet Factory,No,No,3.1,5,HSR,"Takeaway, Delivery",Fast Food,200.0,Delivery,HSR,Budget (₹0-300),1
House Stark Cafe,Yes,No,3.9,44,HSR,Cafe,"Cafe, Desserts, Fast Food, Burger",300.0,Delivery,HSR,Budget (₹0-300),1
Fujian Express,Yes,No,3.2,16,HSR,Quick Bites,"Chinese, Thai, American, Momos",200.0,Delivery,HSR,Budget (₹0-300),1
Paanwadi,No,No,3.3,6,HSR,Dessert Parlor,"Desserts, Paan",100.0,Delivery,HSR,Budget (₹0-300),1
Donne Biryani House,No,No,3.2,6,HSR,Quick Bites,Biryani,250.0,Delivery,HSR,Budget (₹0-300),1
Sree Abhiruchi,No,No,2.6,20,HSR,Casual Dining,"Andhra, Biryani, North Indian",600.0,Delivery,HSR,Mid Range (₹301-600),2
Food Theory,No,No,2.6,56,HSR,Delivery,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500.0,Delivery,HSR,Mid Range (₹301-600),2
The Wicked Cup,No,No,3.9,56,HSR,Cafe,"Cafe, Sandwich, Fast Food, Beverages, Desserts",350.0,Delivery,HSR,Mid Range (₹301-600),2
Momos Corner,No,No,3.3,6,HSR,Quick Bites,Chinese,250.0,Delivery,HSR,Budget (₹0-300),1
Hyderabad Biryaani House,No,No,3.7,21,HSR,"Takeaway, Delivery","Biryani, Hyderabadi, Charcoal Chicken, North Indian",400.0,Delivery,HSR,Mid Range (₹301-600),2
Al Daaz,Yes,No,4.2,581,HSR,Casual Dining,"North Indian, Continental, BBQ",550.0,Delivery,HSR,Mid Range (₹301-600),2
Tea Addict,Yes,No,4.0,77,HSR,Cafe,"Cafe, Beverages",300.0,Delivery,HSR,Budget (₹0-300),1
TGS Retails,No,No,3.3,4,HSR,"Takeaway, Delivery","Bakery, Desserts",600.0,Delivery,HSR,Mid Range (₹301-600),2
Kolkata Roll & Fast Food,No,No,3.6,15,HSR,Quick Bites,Fast Food,250.0,Delivery,HSR,Budget (₹0-300),1
56 Bhoga Sweets,No,No,3.6,51,HSR,"Takeaway, Delivery","Mithai, Street Food",150.0,Delivery,HSR,Budget (₹0-300),1
Shabari Kitchen,Yes,No,3.5,16,Koramangala 1st Block,Quick Bites,"South Indian, Chinese",150.0,Delivery,HSR,Budget (₹0-300),1
Murli,No,No,3.7,79,HSR,Quick Bites,"North Indian, Chinese, Street Food, Fast Food, Mithai",500.0,Delivery,HSR,Mid Range (₹301-600),2
Kolkata Rolls & Fast Food,Yes,No,3.5,142,HSR,"Takeaway, Delivery","Rolls, Fast Food",200.0,Delivery,HSR,Budget (₹0-300),1
Hunger Meals,No,No,3.9,152,HSR,"Takeaway, Delivery","South Indian, North Indian, Biryani",400.0,Delivery,HSR,Mid Range (₹301-600),2
Rara Avis,No,No,3.7,19,HSR,"Takeaway, Delivery","Kerala, Seafood, Biryani, Desserts",400.0,Delivery,HSR,Mid Range (₹301-600),2
Cutlet Shop,No,No,3.2,9,HSR,Quick Bites,"Fast Food, Desserts",200.0,Delivery,HSR,Budget (₹0-300),1
Spice of Andhra,No,No,3.7,41,HSR,Quick Bites,Andhra,500.0,Delivery,HSR,Mid Range (₹301-600),2
Shiv Shakthi,Yes,No,4.0,176,HSR,Quick Bites,"Street Food, North Indian",100.0,Delivery,HSR,Budget (₹0-300),1
The Baker's,No,No,2.4,32,HSR,"Bakery, Quick Bites","Bakery, Fast Food",500.0,Delivery,HSR,Mid Range (₹301-600),2
Big Mama,No,No,3.3,6,HSR,Cafe,"Cafe, Continental, Italian",600.0,Delivery,HSR,Mid Range (₹301-600),2
Thalassery Mess,No,No,3.3,7,HSR,Mess,Kerala,300.0,Delivery,HSR,Budget (₹0-300),1
Carnival Cakes & Breads,No,No,3.5,49,HSR,"Bakery, Quick Bites","Bakery, Fast Food",200.0,Delivery,HSR,Budget (₹0-300),1
Ithaa's Biriyani,No,No,3.4,12,HSR,Quick Bites,"Biryani, Chinese, North Indian",500.0,Delivery,HSR,Mid Range (₹301-600),2
ChopServe,No,No,3.5,5,HSR,Quick Bites,Chinese,300.0,Delivery,HSR,Budget (₹0-300),1
Cheesecake Alley,No,No,3.1,8,HSR,Bakery,"Bakery, Desserts",400.0,Delivery,HSR,Mid Range (₹301-600),2
Sandwich Truffles,No,No,3.3,8,HSR,Quick Bites,Fast Food,400.0,Delivery,HSR,Mid Range (₹301-600),2
Bombay Kulfis,No,No,3.8,41,HSR,Dessert Parlor,Ice Cream,200.0,Delivery,HSR,Budget (₹0-300),1
Muziris,No,No,3.6,24,HSR,Quick Bites,Kerala,250.0,Delivery,HSR,Budget (₹0-300),1
Dum & Oven,No,No,3.7,29,HSR,Casual Dining,"North Indian, Hyderabadi, Continental",600.0,Delivery,HSR,Mid Range (₹301-600),2
7 Degrees North,No,No,3.5,11,HSR,Casual Dining,North Indian,500.0,Delivery,HSR,Mid Range (₹301-600),2
Le Rosa Restaurant,No,No,3.2,4,HSR,Casual Dining,"North Indian, Mughlai, Biryani",700.0,Delivery,HSR,Premium (₹601-1000),3
The Thali Company,No,No,3.3,7,HSR,"Takeaway, Delivery","North Indian, Lucknowi",600.0,Delivery,HSR,Mid Range (₹301-600),2
Saahib,No,No,3.9,89,HSR,Quick Bites,"Fast Food, Rolls",300.0,Delivery,HSR,Budget (₹0-300),1
Andhra Vantillu,No,No,3.3,4,HSR,Quick Bites,"South Indian, North Indian",350.0,Delivery,HSR,Mid Range (₹301-600),2
Ammi's Biryani,No,No,2.8,114,HSR,Quick Bites,"Biryani, North Indian",500.0,Delivery,HSR,Mid Range (₹301-600),2
Indian Dhaba,No,No,3.3,7,HSR,Casual Dining,"North Indian, Chinese",450.0,Delivery,HSR,Mid Range (₹301-600),2
Rolex Food Palace Restaurant,No,No,3.4,9,HSR,Casual Dining,"Chinese, North Indian, Arabian, Kerala",850.0,Delivery,HSR,Premium (₹601-1000),3
Ande Ka Funda,No,No,3.3,5,HSR,Quick Bites,"North Indian, Chinese, Rolls",200.0,Delivery,HSR,Budget (₹0-300),1
World Of Kebabs,No,No,3.4,5,HSR,Casual Dining,"Mughlai, Awadhi, Kebab",600.0,Delivery,HSR,Mid Range (₹301-600),2
Purani Dilli,No,No,3.2,4,HSR,Quick Bites,"North Indian, Chinese",300.0,Delivery,HSR,Budget (₹0-300),1
The Bigman's Cafe,No,No,3.7,31,HSR,"Takeaway, Delivery","North Indian, Chinese",450.0,Delivery,HSR,Mid Range (₹301-600),2
Om Nom Thai,No,No,3.9,30,South Bangalore,Food Truck,"Thai, Momos",400.0,Delivery,HSR,Mid Range (₹301-600),2
The Breakfeast,No,No,3.4,10,HSR,"Takeaway, Delivery","Continental, North Indian, South Indian",200.0,Delivery,HSR,Budget (₹0-300),1
Kaati Roll Delights,No,No,3.3,4,HSR,"Takeaway, Delivery","Fast Food, Rolls",150.0,Delivery,HSR,Budget (₹0-300),1
SaJuSo,No,No,3.8,27,HSR,Delivery,"Fast Food, Sandwich, Salad, Healthy Food",200.0,Delivery,HSR,Budget (₹0-300),1
Warm Oven,Yes,No,4.0,153,HSR,Bakery,"Bakery, Desserts",500.0,Delivery,HSR,Mid Range (₹301-600),2
RICE BAR,No,No,3.1,6,HSR,Delivery,"North Indian, Biryani",500.0,Delivery,HSR,Mid Range (₹301-600),2
Amma's Cafe,No,No,3.2,6,HSR,Quick Bites,Fast Food,300.0,Delivery,HSR,Budget (₹0-300),1
The Little Chef,No,No,3.5,136,HSR,Casual Dining,"North Indian, Chinese",600.0,Delivery,HSR,Mid Range (₹301-600),2
Ambur Biryani,No,No,3.2,5,HSR,Quick Bites,"South Indian, Fast Food",450.0,Delivery,HSR,Mid Range (₹301-600),2
Foxtail Rodeo,No,No,3.5,13,South Bangalore,Food Truck,"Chinese, Street Food",300.0,Delivery,HSR,Budget (₹0-300),1
Desi Breakk,No,No,3.3,7,HSR,Delivery,North Indian,150.0,Delivery,HSR,Budget (₹0-300),1
Enroute,No,No,3.1,23,HSR,Quick Bites,"Continental, Fast Food",300.0,Delivery,HSR,Budget (₹0-300),1
Grand Chillies,No,No,3.4,7,HSR,Quick Bites,"North Indian, Chinese, Biryani",400.0,Delivery,HSR,Mid Range (₹301-600),2
Dhaba Central,No,No,3.3,5,HSR,Casual Dining,North Indian,650.0,Delivery,HSR,Premium (₹601-1000),3
Chattar Mattar,No,No,3.5,11,HSR,Quick Bites,"North Indian, Chinese",150.0,Delivery,HSR,Budget (₹0-300),1
Sultan's Biryani,No,No,3.2,10,HSR,Delivery,"Biryani, North Indian",700.0,Delivery,HSR,Premium (₹601-1000),3
Dosa Time,Yes,No,3.8,109,Sarjapur Road,Takeaway,South Indian,200.0,Delivery,HSR,Budget (₹0-300),1
Biryani Affair,Yes,No,3.5,147,HSR,Delivery,Biryani,350.0,Delivery,HSR,Mid Range (₹301-600),2
FreshMenu,Yes,No,3.9,582,Koramangala,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,HSR,Mid Range (₹301-600),2
Ambur Star Briyani,No,No,2.8,227,HSR,Quick Bites,"Biryani, Kebab",500.0,Delivery,HSR,Mid Range (₹301-600),2
Biryani Palace,Yes,No,3.9,459,HSR,Quick Bites,"Biryani, Hyderabadi, Chinese",600.0,Delivery,HSR,Mid Range (₹301-600),2
Howrah Bridge,Yes,No,3.3,292,HSR,Casual Dining,"Bengali, Seafood",600.0,Delivery,HSR,Mid Range (₹301-600),2
Potful,Yes,No,3.8,834,Sarjapur Road,Delivery,"Biryani, Kebab, Rolls, Mughlai",650.0,Delivery,HSR,Premium (₹601-1000),3
Sangam Sweets,Yes,No,3.9,148,HSR,Sweet Shop,"Mithai, Street Food",200.0,Delivery,HSR,Budget (₹0-300),1
The Paratha Company,Yes,No,4.3,287,Koramangala 4th Block,Delivery,North Indian,400.0,Delivery,HSR,Mid Range (₹301-600),2
Juicemaker,No,No,3.7,68,HSR,"Quick Bites, Beverage Shop","Beverages, Fast Food",400.0,Delivery,HSR,Mid Range (₹301-600),2
KFC,Yes,No,3.6,621,HSR,Quick Bites,"Burger, Fast Food",400.0,Delivery,HSR,Mid Range (₹301-600),2
Indiana Burgers,Yes,No,3.3,17,HSR,Delivery,Burger,300.0,Delivery,HSR,Budget (₹0-300),1
AM's Cafe Recreate,Yes,No,3.3,8,BTM,"Takeaway, Delivery","Chinese, North Indian",250.0,Delivery,HSR,Budget (₹0-300),1
New Punjabi Dhaba,Yes,No,3.9,783,HSR,Quick Bites,"North Indian, Chinese",300.0,Delivery,HSR,Budget (₹0-300),1
