cuisines,rate,votes,location,online_order,book_table
Cafe,3.3,4,Jayanagar,No,No
Cafe,3.1,13,Banashankari,Yes,No
Chinese,3.1,13,Banashankari,Yes,No
Continental,3.1,13,Banashankari,Yes,No
Italian,3.1,13,Banashankari,Yes,No
Cafe,3.7,168,Jayanagar,No,No
Fast Food,3.7,168,Jayanagar,No,No
Beverages,3.7,168,Jayanagar,No,No
Biryani,3.3,12,Basavanagudi,Yes,No
Healthy Food,4.6,143,Koramangala 5th Block,Yes,No
North Indian,4.6,143,Koramangala 5th Block,Yes,No
Biryani,4.6,143,Koramangala 5th Block,Yes,No
Continental,4.6,143,Koramangala 5th Block,Yes,No
Sandwich,4.6,143,Koramangala 5th Block,Yes,No
Desserts,4.6,143,Koramangala 5th Block,Yes,No
Healthy Food,3.9,627,Banashankari,Yes,No
Chinese,3.9,627,Banashankari,Yes,No
Biryani,3.9,627,Banashankari,Yes,No
North Indian,3.9,627,Banashankari,Yes,No
Continental,3.9,627,Banashankari,Yes,No
Salad,3.9,627,Banashankari,Yes,No
American,3.9,627,Banashankari,Yes,No
Burger,3.9,627,Banashankari,Yes,No
Fast Food,3.4,129,Banashankari,Yes,No
Burger,3.4,129,Banashankari,Yes,No
Burger,4.1,414,Jayanagar,Yes,No
Arabian,4.1,414,Jayanagar,Yes,No
Fast Food,4.1,414,Jayanagar,Yes,No
Salad,4.1,414,Jayanagar,Yes,No
Healthy Food,4.1,414,Jayanagar,Yes,No
Desserts,4.1,414,Jayanagar,Yes,No
Beverages,4.2,95,Jayanagar,Yes,No
Desserts,4.2,95,Jayanagar,Yes,No
North Indian,4.4,4884,Jayanagar,Yes,No
Mughlai,4.4,4884,Jayanagar,Yes,No
South Indian,4.4,4884,Jayanagar,Yes,No
Chinese,4.4,4884,Jayanagar,Yes,No
South Indian,4.0,771,Banashankari,Yes,No
North Indian,4.0,771,Banashankari,Yes,No
Chinese,4.0,771,Banashankari,Yes,No
Salad,4.2,64,Basavanagudi,Yes,No
Healthy Food,4.2,64,Basavanagudi,Yes,No
Sandwich,4.2,64,Basavanagudi,Yes,No
Juices,4.2,64,Basavanagudi,Yes,No
Burger,4.2,64,Basavanagudi,Yes,No
Desserts,4.2,64,Basavanagudi,Yes,No
Pizza,4.2,64,Basavanagudi,Yes,No
Street Food,4.1,233,Basavanagudi,Yes,No
Burger,3.8,505,Banashankari,Yes,No
Fast Food,3.8,505,Banashankari,Yes,No
South Indian,4.1,201,Banashankari,Yes,No
North Indian,4.1,201,Banashankari,Yes,No
Chinese,4.1,201,Banashankari,Yes,No
Street Food,4.1,201,Banashankari,Yes,No
Biryani,4.0,774,Koramangala 5th Block,Yes,No
Andhra,4.0,774,Koramangala 5th Block,Yes,No
North Indian,4.0,774,Koramangala 5th Block,Yes,No
Chinese,4.0,774,Koramangala 5th Block,Yes,No
North Indian,3.7,125,JP Nagar,Yes,No
Beverages,3.7,125,JP Nagar,Yes,No
Chinese,3.9,38,Basavanagudi,Yes,No
North Indian,3.8,540,Basavanagudi,Yes,No
Kebab,3.8,540,Basavanagudi,Yes,No
Biryani,3.8,540,Basavanagudi,Yes,No
Chinese,3.8,540,Basavanagudi,Yes,No
Salad,3.7,176,Basavanagudi,Yes,No
Fast Food,3.7,176,Basavanagudi,Yes,No
Rolls,3.8,23,JP Nagar,Yes,No
South Indian,4.1,296,Jayanagar,Yes,No
Biryani,3.6,91,JP Nagar,Yes,No
North Indian,3.6,91,JP Nagar,Yes,No
Rolls,3.6,91,JP Nagar,Yes,No
Street Food,3.8,133,Basavanagudi,Yes,No
Fast Food,3.8,133,Basavanagudi,Yes,No
Asian,4.2,354,Banashankari,Yes,Yes
Korean,4.2,354,Banashankari,Yes,Yes
Japanese,4.2,354,Banashankari,Yes,Yes
Chinese,4.2,354,Banashankari,Yes,Yes
Thai,4.2,354,Banashankari,Yes,Yes
Momos,4.2,354,Banashankari,Yes,Yes
South Indian,3.6,518,JP Nagar,Yes,No
North Indian,3.6,518,JP Nagar,Yes,No
Chinese,3.6,518,JP Nagar,Yes,No
Arabian,4.3,792,Jayanagar,Yes,No
Chinese,3.8,58,Basavanagudi,Yes,No
South Indian,3.9,47,Basavanagudi,Yes,No
Burger,3.2,71,Basavanagudi,Yes,No
Fast Food,3.2,71,Basavanagudi,Yes,No
Beverages,3.2,71,Basavanagudi,Yes,No
Cafe,4.2,504,Banashankari,Yes,No
Mexican,4.2,504,Banashankari,Yes,No
Italian,4.2,504,Banashankari,Yes,No
Momos,4.2,504,Banashankari,Yes,No
Beverages,4.2,504,Banashankari,Yes,No
North Indian,4.1,1720,Basavanagudi,Yes,No
Kebab,4.1,1720,Basavanagudi,Yes,No
Chinese,4.1,1720,Basavanagudi,Yes,No
Fast Food,4.1,1720,Basavanagudi,Yes,No
Beverages,3.7,107,Basavanagudi,Yes,No
Ice Cream,3.7,107,Basavanagudi,Yes,No
Biryani,3.9,55,BTM,Yes,No
North Indian,3.2,395,Jayanagar,Yes,No
Chinese,3.2,395,Jayanagar,Yes,No
Maharashtrian,4.0,78,Jayanagar,Yes,No
South Indian,4.0,332,JP Nagar,Yes,No
North Indian,4.0,332,JP Nagar,Yes,No
Chinese,4.0,332,JP Nagar,Yes,No
Biryani,4.0,1975,JP Nagar,Yes,No
North Indian,4.0,1975,JP Nagar,Yes,No
Kebab,4.0,1975,JP Nagar,Yes,No
Biryani,4.0,618,Jayanagar,Yes,No
North Indian,4.0,618,Jayanagar,Yes,No
Chinese,4.0,618,Jayanagar,Yes,No
Andhra,4.0,618,Jayanagar,Yes,No
South Indian,4.0,618,Jayanagar,Yes,No
North Indian,3.3,261,Shanti Nagar,Yes,No
Chinese,3.3,261,Shanti Nagar,Yes,No
Desserts,4.0,253,Jayanagar,Yes,No
Beverages,4.0,253,Jayanagar,Yes,No
South Indian,3.8,58,Banashankari,Yes,No
Chinese,3.8,58,Banashankari,Yes,No
North Indian,3.8,58,Banashankari,Yes,No
Juices,3.8,58,Banashankari,Yes,No
South Indian,3.4,22,Banashankari,Yes,No
North Indian,3.9,50,Bannerghatta Road,Yes,No
Mughlai,3.9,50,Bannerghatta Road,Yes,No
Biryani,3.9,50,Bannerghatta Road,Yes,No
North Indian,3.9,750,Basavanagudi,Yes,No
Chinese,3.9,750,Basavanagudi,Yes,No
South Indian,3.9,750,Basavanagudi,Yes,No
Biryani,3.9,259,JP Nagar,Yes,No
Fast Food,3.9,259,JP Nagar,Yes,No
Pizza,4.6,2556,Banashankari,Yes,Yes
Cafe,4.6,2556,Banashankari,Yes,Yes
Italian,4.6,2556,Banashankari,Yes,Yes
South Indian,3.6,34,Jayanagar,Yes,No
Desserts,3.9,210,Jayanagar,Yes,No
Beverages,3.9,210,Jayanagar,Yes,No
Ice Cream,3.9,210,Jayanagar,Yes,No
Ice Cream,3.8,71,Basavanagudi,Yes,No
Desserts,3.8,71,Basavanagudi,Yes,No
Beverages,3.8,71,Basavanagudi,Yes,No
Sandwich,3.8,71,Basavanagudi,Yes,No
Biryani,3.9,230,Banashankari,Yes,No
Biryani,4.0,94,JP Nagar,Yes,No
Kebab,4.0,94,JP Nagar,Yes,No
South Indian,4.2,444,Basavanagudi,Yes,No
North Indian,4.3,630,Jayanagar,Yes,No
Street Food,4.3,630,Jayanagar,Yes,No
Juices,4.3,630,Jayanagar,Yes,No
South Indian,4.1,175,Jayanagar,Yes,Yes
North Indian,4.1,175,Jayanagar,Yes,Yes
Chinese,4.1,175,Jayanagar,Yes,Yes
Beverages,4.1,175,Jayanagar,Yes,Yes
South Indian,3.9,57,Banashankari,Yes,No
North Indian,3.9,57,Banashankari,Yes,No
Chinese,3.9,57,Banashankari,Yes,No
Street Food,3.9,57,Banashankari,Yes,No
South Indian,3.9,441,Banashankari,Yes,No
North Indian,3.9,441,Banashankari,Yes,No
Chinese,3.9,441,Banashankari,Yes,No
Biryani,3.9,441,Banashankari,Yes,No
Biryani,3.8,104,Banashankari,Yes,No
Fast Food,3.8,104,Banashankari,Yes,No
Biryani,4.1,2723,BTM,Yes,Yes
North Indian,4.1,2723,BTM,Yes,Yes
Mughlai,4.1,2723,BTM,Yes,Yes
Pizza,3.8,693,Banashankari,Yes,No
Fast Food,3.8,693,Banashankari,Yes,No
South Indian,3.6,66,Banashankari,Yes,No
Biryani,4.4,4401,Jayanagar,Yes,No
North Indian,4.4,4401,Jayanagar,Yes,No
Chinese,4.4,4401,Jayanagar,Yes,No
Kebab,3.7,65,JP Nagar,Yes,No
North Indian,3.7,65,JP Nagar,Yes,No
Fast Food,3.7,65,JP Nagar,Yes,No
Beverages,3.7,65,JP Nagar,Yes,No
Pizza,3.9,172,Banashankari,Yes,No
North Indian,3.9,319,Bannerghatta Road,Yes,No
Chinese,3.9,319,Bannerghatta Road,Yes,No
Bakery,3.9,35,Banashankari,Yes,No
Desserts,3.9,35,Banashankari,Yes,No
Fast Food,3.7,170,JP Nagar,Yes,No
North Indian,3.7,170,JP Nagar,Yes,No
South Indian,3.7,170,JP Nagar,Yes,No
North Indian,3.4,13,Bannerghatta Road,Yes,No
Chinese,3.4,13,Bannerghatta Road,Yes,No
Tea,3.2,208,Jayanagar,Yes,No
Beverages,3.2,208,Jayanagar,Yes,No
Fast Food,3.2,208,Jayanagar,Yes,No
Continental,4.1,163,Basavanagudi,Yes,No
Fast Food,4.1,163,Basavanagudi,Yes,No
Street Food,4.1,163,Basavanagudi,Yes,No
Momos,4.1,163,Basavanagudi,Yes,No
North Indian,3.7,23,Jayanagar,Yes,No
Chinese,3.7,23,Jayanagar,Yes,No
Rolls,3.7,23,Jayanagar,Yes,No
Bakery,3.7,23,Jayanagar,Yes,No
Arabian,3.7,23,Jayanagar,Yes,No
Desserts,3.7,23,Jayanagar,Yes,No
North Indian,3.7,97,Jayanagar,Yes,No
Mughlai,3.7,97,Jayanagar,Yes,No
Chinese,3.7,97,Jayanagar,Yes,No
North Indian,4.2,415,Banashankari,Yes,No
Biryani,4.2,415,Banashankari,Yes,No
Fast Food,4.2,415,Banashankari,Yes,No
Cafe,3.9,291,Jayanagar,Yes,Yes
Burger,3.9,291,Jayanagar,Yes,Yes
Continental,3.9,291,Jayanagar,Yes,Yes
Italian,3.9,291,Jayanagar,Yes,Yes
Desserts,3.9,291,Jayanagar,Yes,Yes
Chinese,4.2,1647,Banashankari,Yes,No
Thai,4.2,1647,Banashankari,Yes,No
Momos,4.2,1647,Banashankari,Yes,No
Thai,4.1,364,Jayanagar,Yes,Yes
Vietnamese,4.1,364,Jayanagar,Yes,Yes
Asian,4.1,364,Jayanagar,Yes,Yes
Chinese,4.1,364,Jayanagar,Yes,Yes
South Indian,3.8,70,Banashankari,Yes,No
Tibetan,3.5,80,Banashankari,Yes,No
Momos,3.5,80,Banashankari,Yes,No
South Indian,3.9,264,Banashankari,Yes,No
South Indian,4.0,166,Jayanagar,Yes,No
North Indian,4.0,166,Jayanagar,Yes,No
Chinese,4.0,166,Jayanagar,Yes,No
Street Food,3.9,134,Jayanagar,Yes,No
North Indian,3.9,134,Jayanagar,Yes,No
South Indian,3.9,134,Jayanagar,Yes,No
South Indian,3.6,16,Basavanagudi,Yes,No
South Indian,4.1,364,Basavanagudi,Yes,No
Chinese,4.1,364,Basavanagudi,Yes,No
North Indian,4.1,364,Basavanagudi,Yes,No
Street Food,4.1,364,Basavanagudi,Yes,No
Rolls,4.1,364,Basavanagudi,Yes,No
Juices,4.1,364,Basavanagudi,Yes,No
Cafe,4.2,449,Jayanagar,Yes,No
Beverages,4.2,449,Jayanagar,Yes,No
Fast Food,4.2,449,Jayanagar,Yes,No
Desserts,3.9,56,Basavanagudi,Yes,No
Beverages,3.9,56,Basavanagudi,Yes,No
Mithai,3.9,148,Jayanagar,Yes,No
Street Food,3.9,148,Jayanagar,Yes,No
Mexican,4.0,53,Banashankari,Yes,No
Italian,4.0,53,Banashankari,Yes,No
Pizza,4.2,2115,Banashankari,Yes,Yes
Italian,4.2,2115,Banashankari,Yes,Yes
Continental,4.2,2115,Banashankari,Yes,Yes
Desserts,4.2,2115,Banashankari,Yes,Yes
Fast Food,3.9,67,Jayanagar,Yes,No
North Indian,4.2,287,Banashankari,Yes,No
South Indian,3.6,84,Banashankari,Yes,No
North Indian,3.6,84,Banashankari,Yes,No
Chinese,3.6,84,Banashankari,Yes,No
American,4.2,2171,JP Nagar,Yes,Yes
Chinese,4.2,2171,JP Nagar,Yes,Yes
Continental,4.2,2171,JP Nagar,Yes,Yes
North Indian,4.2,2171,JP Nagar,Yes,Yes
Beverages,3.7,21,Basavanagudi,Yes,No
Juices,3.7,21,Basavanagudi,Yes,No
Italian,3.1,7,Kumaraswamy Layout,Yes,No
Chinese,3.1,7,Kumaraswamy Layout,Yes,No
Street Food,3.1,7,Kumaraswamy Layout,Yes,No
Andhra,4.2,1428,JP Nagar,Yes,Yes
North Indian,4.2,1428,JP Nagar,Yes,Yes
South Indian,4.1,70,Basavanagudi,Yes,No
Chinese,4.1,70,Basavanagudi,Yes,No
Street Food,3.7,93,Basavanagudi,Yes,No
Arabian,3.9,1227,Bannerghatta Road,Yes,Yes
North Indian,3.9,1227,Bannerghatta Road,Yes,Yes
Chinese,3.9,1227,Bannerghatta Road,Yes,Yes
Seafood,3.9,1227,Bannerghatta Road,Yes,Yes
Biryani,3.9,1227,Bannerghatta Road,Yes,Yes
Rolls,3.9,1227,Bannerghatta Road,Yes,Yes
Beverages,3.9,1227,Bannerghatta Road,Yes,Yes
Biryani,4.1,164,Jayanagar,Yes,No
Fast Food,4.1,164,Jayanagar,Yes,No
North Indian,3.8,577,Jayanagar,Yes,No
South Indian,3.8,577,Jayanagar,Yes,No
Biryani,3.8,577,Jayanagar,Yes,No
Beverages,3.8,577,Jayanagar,Yes,No
Fast Food,3.9,149,Kumaraswamy Layout,Yes,No
Chinese,3.9,149,Kumaraswamy Layout,Yes,No
Rolls,3.9,149,Kumaraswamy Layout,Yes,No
South Indian,3.6,37,Jayanagar,Yes,No
Mangalorean,3.8,133,Banashankari,Yes,No
South Indian,3.8,133,Banashankari,Yes,No
North Indian,3.8,133,Banashankari,Yes,No
Chinese,3.3,12,Kumaraswamy Layout,Yes,No
Biryani,3.3,12,Kumaraswamy Layout,Yes,No
Rolls,3.1,31,Banashankari,Yes,No
Lebanese,3.1,31,Banashankari,Yes,No
Healthy Food,4.2,166,Jayanagar,Yes,Yes
Continental,4.2,166,Jayanagar,Yes,Yes
Juices,4.2,166,Jayanagar,Yes,Yes
Salad,4.2,166,Jayanagar,Yes,Yes
Burger,4.2,166,Jayanagar,Yes,Yes
Beverages,4.2,166,Jayanagar,Yes,Yes
Desserts,4.2,166,Jayanagar,Yes,Yes
Pizza,3.5,32,Banashankari,Yes,No
Sandwich,3.5,32,Banashankari,Yes,No
Burger,3.5,32,Banashankari,Yes,No
Fast Food,3.5,32,Banashankari,Yes,No
Desserts,3.3,13,Basavanagudi,Yes,No
Mithai,3.3,13,Basavanagudi,Yes,No
Fast Food,3.9,104,Jayanagar,Yes,No
Ice Cream,3.9,38,Banashankari,Yes,No
Beverages,4.5,155,Jayanagar,Yes,No
Sandwich,4.5,155,Jayanagar,Yes,No
North Indian,4.2,3227,BTM,Yes,Yes
Chinese,2.8,109,Shanti Nagar,Yes,No
Tibetan,2.8,109,Shanti Nagar,Yes,No
Bengali,3.7,662,JP Nagar,Yes,No
Mughlai,3.7,662,JP Nagar,Yes,No
Continental,4.5,784,BTM,Yes,Yes
Mexican,4.5,784,BTM,Yes,Yes
Chinese,4.5,784,BTM,Yes,Yes
North Indian,4.5,784,BTM,Yes,Yes
North Indian,3.0,73,Shanti Nagar,Yes,No
Pizza,3.9,40,Jayanagar,Yes,No
South Indian,3.9,40,Jayanagar,Yes,No
Healthy Food,3.9,40,Jayanagar,Yes,No
Rajasthani,3.9,85,JP Nagar,Yes,No
Fast Food,3.6,46,Banashankari,Yes,No
Italian,3.6,46,Banashankari,Yes,No
Beverages,3.6,46,Banashankari,Yes,No
Fast Food,3.6,21,Jayanagar,Yes,No
Burger,3.6,21,Jayanagar,Yes,No
Fast Food,3.2,33,Bannerghatta Road,Yes,No
Rolls,3.2,33,Bannerghatta Road,Yes,No
Momos,3.2,33,Bannerghatta Road,Yes,No
Bakery,3.8,15,Basavanagudi,Yes,No
Bakery,4.3,659,Jayanagar,Yes,No
Desserts,4.3,659,Jayanagar,Yes,No
Desserts,3.8,152,Jayanagar,Yes,No
Beverages,3.8,152,Jayanagar,Yes,No
Chinese,4.1,337,Jayanagar,Yes,No
Fast Food,4.1,337,Jayanagar,Yes,No
North Indian,3.6,46,Jayanagar,Yes,No
Biryani,3.6,24,Banashankari,Yes,No
Chinese,3.6,24,Banashankari,Yes,No
North Indian,3.6,24,Banashankari,Yes,No
Street Food,4.2,191,Basavanagudi,Yes,No
Fast Food,4.2,191,Basavanagudi,Yes,No
Burger,4.0,108,Jayanagar,Yes,No
Sandwich,4.0,108,Jayanagar,Yes,No
Beverages,4.0,108,Jayanagar,Yes,No
Desserts,4.1,438,Jayanagar,Yes,No
Ice Cream,4.1,438,Jayanagar,Yes,No
Beverages,4.1,438,Jayanagar,Yes,No
Fast Food,4.1,438,Jayanagar,Yes,No
Sandwich,4.1,438,Jayanagar,Yes,No
South Indian,3.5,10,Basavanagudi,Yes,No
Desserts,3.3,9,Basavanagudi,Yes,No
Beverages,3.7,11,BTM,Yes,No
Juices,3.7,11,BTM,Yes,No
North Indian,3.9,33,BTM,Yes,No
South Indian,3.9,33,BTM,Yes,No
Bakery,3.6,27,Jayanagar,Yes,No
Fast Food,3.6,27,Jayanagar,Yes,No
Desserts,3.6,27,Jayanagar,Yes,No
Beverages,3.6,27,Jayanagar,Yes,No
South Indian,3.9,49,Jayanagar,Yes,No
North Indian,3.9,49,Jayanagar,Yes,No
Biryani,3.1,119,Banashankari,Yes,No
Andhra,3.1,119,Banashankari,Yes,No
Hyderabadi,3.1,119,Banashankari,Yes,No
North Indian,3.1,119,Banashankari,Yes,No
North Indian,3.8,120,Banashankari,Yes,No
Fast Food,3.8,120,Banashankari,Yes,No
Rolls,3.8,120,Banashankari,Yes,No
Burger,3.6,276,Basavanagudi,Yes,No
Fast Food,3.6,276,Basavanagudi,Yes,No
Kerala,4.2,1539,BTM,Yes,Yes
Seafood,4.2,1539,BTM,Yes,Yes
Chinese,4.2,1539,BTM,Yes,Yes
Biryani,4.2,1539,BTM,Yes,Yes
Juices,4.2,1539,BTM,Yes,Yes
North Indian,3.7,47,Wilson Garden,Yes,No
Italian,4.1,1063,Jayanagar,Yes,Yes
Fast Food,4.1,1063,Jayanagar,Yes,Yes
Salad,4.1,1063,Jayanagar,Yes,Yes
BBQ,4.1,1063,Jayanagar,Yes,Yes
Cafe,3.4,15,Banashankari,Yes,No
Fast Food,3.4,15,Banashankari,Yes,No
Rolls,3.6,21,BTM,Yes,No
North Indian,3.4,4,Basavanagudi,Yes,No
Fast Food,3.4,4,Basavanagudi,Yes,No
Chinese,3.6,195,Jayanagar,Yes,No
Seafood,3.6,195,Jayanagar,Yes,No
Biryani,3.6,195,Jayanagar,Yes,No
Fast Food,3.9,211,Jayanagar,Yes,No
Continental,3.9,211,Jayanagar,Yes,No
Beverages,3.9,211,Jayanagar,Yes,No
Salad,3.9,211,Jayanagar,Yes,No
Healthy Food,3.9,211,Jayanagar,Yes,No
Desserts,4.3,860,Banashankari,Yes,No
Ice Cream,4.3,860,Banashankari,Yes,No
American,4.2,289,Bannerghatta Road,Yes,No
Burger,4.2,289,Bannerghatta Road,Yes,No
Fast Food,4.2,289,Bannerghatta Road,Yes,No
South Indian,3.0,82,Banashankari,Yes,No
North Indian,3.0,82,Banashankari,Yes,No
Chinese,3.0,82,Banashankari,Yes,No
Street Food,3.0,82,Banashankari,Yes,No
Beverages,4.2,146,Banashankari,Yes,No
Desserts,4.2,146,Banashankari,Yes,No
Ice Cream,4.2,146,Banashankari,Yes,No
Continental,3.6,10,Bannerghatta Road,Yes,No
Cafe,4.2,169,JP Nagar,Yes,No
Beverages,4.2,169,JP Nagar,Yes,No
Desserts,4.2,169,JP Nagar,Yes,No
Fast Food,3.1,10,Banashankari,Yes,No
Burger,3.1,10,Banashankari,Yes,No
Fast Food,3.6,27,Basavanagudi,Yes,No
Chinese,3.6,21,BTM,Yes,No
Fast Food,3.4,12,Jayanagar,Yes,No
Sandwich,3.4,12,Jayanagar,Yes,No
Biryani,3.4,17,Jayanagar,Yes,No
Arabian,3.7,53,Jayanagar,Yes,No
Rolls,3.7,53,Jayanagar,Yes,No
North Indian,3.7,53,Jayanagar,Yes,No
BBQ,3.7,53,Jayanagar,Yes,No
Fast Food,3.9,134,Jayanagar,Yes,No
Rolls,3.9,134,Jayanagar,Yes,No
Fast Food,3.9,113,Shanti Nagar,Yes,No
North Indian,3.9,113,Shanti Nagar,Yes,No
Rolls,3.9,113,Shanti Nagar,Yes,No
Beverages,3.9,91,Jayanagar,Yes,No
Street Food,3.9,91,Jayanagar,Yes,No
Juices,3.6,20,Basavanagudi,Yes,No
Fast Food,3.6,20,Basavanagudi,Yes,No
South Indian,3.7,237,Banashankari,Yes,No
Fast Food,3.7,237,Banashankari,Yes,No
Chinese,3.8,197,Jayanagar,Yes,Yes
Continental,3.8,197,Jayanagar,Yes,Yes
Burger,3.8,197,Jayanagar,Yes,Yes
Pizza,3.8,197,Jayanagar,Yes,Yes
Cafe,3.9,133,Banashankari,Yes,No
Fast Food,3.9,133,Banashankari,Yes,No
Continental,3.9,133,Banashankari,Yes,No
Chinese,3.9,133,Banashankari,Yes,No
Momos,3.9,133,Banashankari,Yes,No
Bakery,4.0,90,JP Nagar,Yes,No
Desserts,4.0,90,JP Nagar,Yes,No
Healthy Food,4.3,1252,Jayanagar,Yes,Yes
Cafe,4.3,1252,Jayanagar,Yes,Yes
Beverages,4.3,1252,Jayanagar,Yes,Yes
Cafe,4.1,796,Jayanagar,Yes,No
Fast Food,4.1,796,Jayanagar,Yes,No
Beverages,4.1,796,Jayanagar,Yes,No
Cafe,3.8,918,Banashankari,Yes,No
Mexican,3.8,918,Banashankari,Yes,No
Italian,3.8,918,Banashankari,Yes,No
Mangalorean,3.7,28,Wilson Garden,Yes,No
Chinese,3.7,28,Wilson Garden,Yes,No
North Indian,3.7,28,Wilson Garden,Yes,No
South Indian,3.8,155,Jayanagar,Yes,No
North Indian,3.8,155,Jayanagar,Yes,No
Chinese,3.8,155,Jayanagar,Yes,No
Street Food,3.8,155,Jayanagar,Yes,No
South Indian,3.3,8,Shanti Nagar,Yes,No
Cafe,3.9,240,Basavanagudi,Yes,No
Biryani,3.6,60,Jayanagar,Yes,No
South Indian,3.6,60,Jayanagar,Yes,No
Cafe,3.6,41,BTM,Yes,No
Continental,3.6,41,BTM,Yes,No
Fast Food,3.6,41,BTM,Yes,No
North Indian,3.4,89,Jayanagar,Yes,No
Chinese,3.4,89,Jayanagar,Yes,No
Rolls,3.4,89,Jayanagar,Yes,No
Juices,3.7,57,Basavanagudi,Yes,No
South Indian,3.7,57,Basavanagudi,Yes,No
Chinese,3.7,57,Basavanagudi,Yes,No
Fast Food,3.7,57,Basavanagudi,Yes,No
Pizza,3.7,217,Wilson Garden,Yes,No
Fast Food,3.7,217,Wilson Garden,Yes,No
Mithai,2.9,23,Jayanagar,Yes,No
Bakery,4.0,73,Basavanagudi,Yes,No
Desserts,4.0,73,Basavanagudi,Yes,No
Fast Food,3.7,33,Basavanagudi,Yes,No
South Indian,3.7,14,Jayanagar,Yes,No
Desserts,4.1,192,Jayanagar,Yes,No
Ice Cream,4.1,192,Jayanagar,Yes,No
Rajasthani,3.5,9,JP Nagar,Yes,No
North Indian,3.5,9,JP Nagar,Yes,No
Ice Cream,3.8,53,Jayanagar,Yes,No
Beverages,3.8,53,Jayanagar,Yes,No
Fast Food,3.8,53,Jayanagar,Yes,No
Beverages,3.9,61,Shanti Nagar,Yes,No
Desserts,3.9,61,Shanti Nagar,Yes,No
Mangalorean,3.8,242,Jayanagar,Yes,No
Seafood,3.8,242,Jayanagar,Yes,No
Chinese,3.8,242,Jayanagar,Yes,No
Biryani,3.8,242,Jayanagar,Yes,No
South Indian,4.0,465,Jayanagar,Yes,No
North Indian,4.0,465,Jayanagar,Yes,No
Chinese,4.0,465,Jayanagar,Yes,No
Street Food,4.0,465,Jayanagar,Yes,No
Cafe,4.0,324,Banashankari,Yes,No
Italian,4.0,324,Banashankari,Yes,No
Continental,4.0,324,Banashankari,Yes,No
South Indian,3.0,22,Basavanagudi,Yes,No
North Indian,3.0,22,Basavanagudi,Yes,No
Chinese,3.0,22,Basavanagudi,Yes,No
Mughlai,2.6,307,Shanti Nagar,Yes,No
North Indian,2.6,307,Shanti Nagar,Yes,No
Chinese,2.6,307,Shanti Nagar,Yes,No
South Indian,3.3,6,Banashankari,Yes,No
North Indian,3.3,6,Banashankari,Yes,No
Ice Cream,3.6,25,Jayanagar,Yes,No
Desserts,3.6,25,Jayanagar,Yes,No
Mithai,3.2,8,Banashankari,Yes,No
Street Food,3.2,8,Banashankari,Yes,No
Fast Food,3.5,58,Shanti Nagar,Yes,No
Fast Food,3.7,47,Jayanagar,Yes,No
Desserts,3.7,47,Jayanagar,Yes,No
Beverages,3.7,47,Jayanagar,Yes,No
Cafe,4.2,150,Banashankari,Yes,Yes
Italian,4.2,150,Banashankari,Yes,Yes
Continental,4.2,150,Banashankari,Yes,Yes
North Indian,3.0,290,Banashankari,Yes,No
Chinese,3.0,290,Banashankari,Yes,No
Biryani,3.0,290,Banashankari,Yes,No
Kebab,3.0,290,Banashankari,Yes,No
South Indian,3.0,7,Basavanagudi,Yes,No
Burger,3.0,7,Basavanagudi,Yes,No
Chinese,3.2,4,Shanti Nagar,Yes,No
Continental,3.2,4,Shanti Nagar,Yes,No
Desserts,3.2,4,Shanti Nagar,Yes,No
Bakery,3.2,4,Shanti Nagar,Yes,No
Desserts,4.4,356,Jayanagar,Yes,No
Beverages,4.4,356,Jayanagar,Yes,No
Desserts,4.2,249,Jayanagar,Yes,No
Beverages,4.2,249,Jayanagar,Yes,No
Burger,3.8,82,BTM,Yes,No
Pizza,3.8,82,BTM,Yes,No
Fast Food,3.8,82,BTM,Yes,No
Cafe,3.9,91,Jayanagar,Yes,No
Fast Food,3.9,91,Jayanagar,Yes,No
Chinese,3.9,91,Jayanagar,Yes,No
Pizza,3.8,164,Basavanagudi,Yes,No
Italian,3.8,164,Basavanagudi,Yes,No
Fast Food,3.4,6,Basavanagudi,Yes,No
Rolls,3.4,6,Basavanagudi,Yes,No
North Indian,3.1,5,Kumaraswamy Layout,Yes,No
Chinese,3.1,5,Kumaraswamy Layout,Yes,No
Biryani,3.1,5,Kumaraswamy Layout,Yes,No
Kebab,3.1,5,Kumaraswamy Layout,Yes,No
Fast Food,2.7,123,Banashankari,Yes,No
South Indian,3.1,10,JP Nagar,Yes,No
Biryani,3.1,10,JP Nagar,Yes,No
Chinese,3.4,16,Wilson Garden,Yes,No
North Indian,3.4,16,Wilson Garden,Yes,No
Arabian,3.4,16,Wilson Garden,Yes,No
North Indian,3.5,179,Banashankari,Yes,No
Chinese,3.5,179,Banashankari,Yes,No
Beverages,3.5,179,Banashankari,Yes,No
Beverages,3.4,12,Banashankari,Yes,No
Fast Food,3.4,12,Banashankari,Yes,No
Juices,3.4,12,Banashankari,Yes,No
Cafe,3.9,153,JP Nagar,Yes,No
Desserts,3.9,153,JP Nagar,Yes,No
Andhra,3.5,79,Jayanagar,Yes,No
North Indian,3.5,79,Jayanagar,Yes,No
Chinese,3.5,79,Jayanagar,Yes,No
Mangalorean,3.5,79,Jayanagar,Yes,No
Seafood,3.5,79,Jayanagar,Yes,No
Biryani,3.5,79,Jayanagar,Yes,No
South Indian,4.1,558,Basavanagudi,Yes,No
